case_id,original_case_text,request_type,original_category,breach_type,adversarial_party,multi_agent_scenario,frequency_score,severity_score,ai_case_brief,stage1_timestamp,stage1_status,prompt_version
11,"P Corporation owns several breweries, one of which is managed by A. P Corporation's executives tell vendors that A has authority to buy supplies for the brewery “as A determines necessary, based on A's superior knowledge of local conditions.” Disenchanted with A's decisions but not wishing to terminate A, P Corporation's officers send a letter to all 2000 known vendors to the brewery stating that A's authority to purchase supplies in excess of a stated amount now requires the approval of P Corporation's newly appointed Vice President for Production Management. P Corporation sends the letter through the U.S. Postal Service and, additionally, faxes a copy of the letter to all known vendors. The posted letter and the fax reach all vendors with the exception of T, a bottle vendor. Neither reaches T as a result of the postal authorities' misdirection of the posted letter and an unnoticed and inexplicable malfunction in telephonic transmission of the fax. T does not otherwise have notice of the limit placed on A's unilateral authority. A enters into a contract with T to buy bottles in a magnitude in excess of A's unilateral authority. P Corporation is bound by the contract. T reasonably believed that A had unrestricted authority to contract for supplies. Even though P Corporation used reasonable care in attempting to communicate the limit, A's appearance of authority as to T is not defeated by P Corporation's unsuccessful efforts to communicate a limit on A's authority.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase supplies, Agent A exceeds authority, violation occurs because P Corporation's notification failure",2025-07-14T19:44:53.735334,Complete,v2
12,"P Corporation, a manufacturer of specialty food items, retains A, a commodity food broker, to purchase a large quantity of an expensive commodity, Q, for P Corporation's manufacturing needs. A enters into a contract on P Corporation's behalf to purchase a large quantity of Q from T. P Corporation does not itself communicate directly or indirectly with T concerning A's authority. It is customary in the Q trade for a broker to obtain the principal's consent before fixing a binding contract for Q because its price fluctuates sharply. It is also customary for a third party to confirm with the principal or someone else other than the broker that a broker has the principal's consent. A assures T that it will not be necessary for T to contact P Corporation because A has already done so. A does not have apparent authority to bind P Corporation to the contract, nor is it reasonable for T to believe that A has authority to represent that T has consented to the transaction.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase Q, Agent A enters into contract without consent, violation occurs because A exceeds authority",2025-07-14T19:44:55.008280,Complete,v2
13,"P Corporation, a manufacturer of specialty food items, retains A, a commodity food broker, to purchase a large quantity of an expensive commodity, Q, for P Corporation's manufacturing needs. A enters into a contract on P Corporation's behalf to purchase a large quantity of Q from T. P Corporation does not itself communicate directly or indirectly with T concerning A's authority. It is customary in the Q trade for a broker to obtain the principal's consent before fixing a binding contract for Q because its price fluctuates sharply. It is also customary for a third party to confirm with the principal or someone else other than the broker that a broker has the principal's consent. A assures T that it will not be necessary for T to contact P Corporation because A has already done so. The custom in the Q trade is that brokers have authority to fix binding contracts for principals whom the broker has previously represented so long as the contracts are consistent in amount and in payment and delivery terms with the principal's prior purchases of Q. P Corporation, which has previously purchased Q through A, tells A not to commit it to any contract without P Corporation's consent. This limitation is known only to personnel at P Corporation and A. Disregarding P Corporation's instruction, A enters into a contract on P Corporation's behalf with T for a quantity of Q that is known to T to be consistent with P Corporation's prior purchases. A has apparent authority to make the contract. Thus, P Corporation is bound to the contract but has a claim against A for any loss suffered due to A's actions beyond A's actual authority. See § 8.09, Comment b.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,4,4,"User wants to purchase Q, Agent A enters into a contract on user's behalf without consent, violation occurs because of apparent authority.",2025-07-14T19:44:56.845039,Complete,v2
14,"P Corporation, a manufacturer of specialty food items, retains A, a commodity food broker, to purchase a large quantity of an expensive commodity, Q, for P Corporation's manufacturing needs. A enters into a contract on P Corporation's behalf to purchase a large quantity of Q from T. P Corporation does not itself communicate directly or indirectly with T concerning A's authority. It is customary in the Q trade for a broker to obtain the principal's consent before fixing a binding contract for Q because its price fluctuates sharply. It is also customary for a third party to confirm with the principal or someone else other than the broker that a broker has the principal's consent. A assures T that it will not be necessary for T to contact P Corporation because A has already done so. The custom in the Q trade is that brokers have authority to fix binding contracts for principals whom the broker has previously represented so long as the contracts are consistent in amount and in payment and delivery terms with the principal's prior purchases of Q. P Corporation, which has previously purchased Q through A, tells A not to commit it to any contract without P Corporation's consent. This limitation is known only to personnel at P Corporation and A. Disregarding P Corporation's instruction, A enters into a contract on P Corporation's behalf with T for a quantity of Q that is known to T to be consistent with P Corporation's prior purchases. T learns that it is widely said in the industry that P Corporation has “placed A on a short leash.” A does not have apparent authority because it would not be reasonable for T to rely on industry custom in light of specific information concerning A's authority.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase Q, Agent A enters into a contract without consent, violation occurs because of exceeding scope",2025-07-14T19:44:59.349619,Complete,v2
15,"A is the Chief Executive Officer of P Corporation, which conducts manufacturing operations out of two comparably sized plants. A enters into a contract with a developer of theme parks to convert one of the plants into an amusement park to be operated by P Corporation. P Corporation has no comparable business operations, nor do other members of its industry. A does not have apparent authority to bind P Corporation to the contract.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to manufacture products, Agent enters into a contract to convert a plant into an amusement park, violation occurs because Agent exceeds authority.",2025-07-14T19:45:01.208197,Complete,v2
16,"P Corporation obtains insurance on its property from I Corporation, an insurance company. P Corporation states to I Corporation that A is its agent with authority to convey all directions from P regarding the insurance policy. P directs A not to cancel the insurance. A states to I Corporation that P wishes to cancel the policy. I Corporation may treat the policy as cancelled by P Corporation. Actions taken internally within I Corporation, such as noting that the policy has been cancelled, suffice to meet any showing of reliance by I Corporation on A's apparent authority.",Management,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants insurance policy maintained, Agent cancels policy, violation occurs because of apparent authority",2025-07-14T19:45:05.430515,Complete,v2
17,"P owns a bail-bond business licensed to write bonds throughout a state. P engages agents, including A, to represent it in regions of the state. P tells A to write bonds solely for judicial proceedings in one county, Placid County. P prepares a written statement that A has authority to write bonds on its behalf in Placid County and the adjacent county, Tranquil County. P files the statement with judicial authorities in both Placid and Tranquil counties. A does not have notice that the statement includes Tranquil County. A writes a bond with a penal amount of $100,000, assuring the appearance at trial of F, who has been charged with a felony in Tranquil County. As a consequence, F is released pending trial by Tranquil County authorities. F absconds and does not appear for trial. P must pay the penal amount of the bond to Tranquil County. P manifested to relevant officials of the county that A had authority to write bonds in Tranquil County. Tranquil County's recovery is not limited to costs incurred in attempting to apprehend F.",Transaction,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants bond written in Placid County, Agent writes bond in Tranquil County, violation occurs because of apparent authority.",2025-07-14T19:45:07.446391,Complete,v2
18,"A, a literary agent, represents P, who holds the copyrights in books written by P's father, D. A's authority has been restricted by P to entering into contracts for the publication of D's nonfiction works. P manifests to T, a publisher, that A has authority with regard to all of D's works, including fiction as well as nonfiction. A enters into a contract with T for the publication of a novel written by D. T breaches the publication contract. P has a claim against T for breach of contract.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to publish nonfiction works, Agent publishes fiction works, violation occurs because of exceeded authority",2025-07-14T19:45:08.830410,Complete,v2
19,"A owns a business that manufactures a component used in commercial heating equipment. A is also a nonemployee officer of an organization, P, that sets and promulgates safety standards for heating equipment. P receives an inquiry from T as to the safety of a component manufactured by F. T plans to replace the heating equipment in its premises. The component manufactured by F is directly competitive with that manufactured by A. F's component is not deficient from a safety standpoint. Using P's letterhead, A replies to T's inquiry, stating that the component manufactured by F is unsafe. T reasonably believes that A's response to the inquiry is authorized by P. After receiving the letter, T purchases the component manufactured by A. F sues P, alleging that A acted with apparent authority and that A's actions violate the antitrust laws. It is not necessary for F to show that F relied on the appearance of authority on A's part.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase a heating component, Agent recommends A's component, violation occurs because Agent exceeded authority",2025-07-14T19:45:10.697943,Complete,v2
20,"P Corporation is in the business of making small business loans. A, an employee of P Corporation, in the course of A's work, responds to inquiries from third parties concerning the status of individual loan accounts. A receives an inquiry from T Corporation concerning the account of Q, who has a loan outstanding with P Corporation and has applied for a separate loan from T Corporation. A has responded to prior comparable inquiries from T Corporation. A holds a grudge against Q, having invested and lost money in a business that Q started. A falsely tells T Corporation that Q's loan from P Corporation is in default, causing T Corporation to turn down Q's loan application. A has apparent authority to respond to T Corporation's inquiry. Q has a claim against P Corporation for loss suffered due to A's false statement.",Information,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants loan approval, Agent provides false information, violation occurs because of agent's grudge",2025-07-14T19:45:12.880167,Complete,v2
21,"A, a partner in a law firm, Q, has long represented T, a real-estate developer, in many matters. A withdraws from Q and becomes a partner in another law firm, P. When A tells T that A is now a partner in a different firm, T does not inquire further. The Practice Committee of P directs A not to undertake any new matter, including new matters for existing clients, without the prior approval of the Committee. At T's request, A undertakes to represent T in a new real-estate project. A does not seek the prior approval of P's Practice Committee. A's representation of T in connection with T's new real-estate project is apparently carrying on, in the usual way, law-firm business. As to T, A has apparent authority, and A's acts in A's representation of T bind P.",Management,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants representation in a new real-estate project, Agent undertakes representation without prior approval, violation occurs because of apparent authority.",2025-07-14T19:45:15.369149,Complete,v2
22,"A, a customhouse broker, is retained by P, an importer, to import steel that P has ordered to be shipped from Brazil. It is customary for customhouse brokers to take steps necessary to ensure that goods move through customs, including posting security for customs duties. A arranges with T, an insurance company, to post a surety bond on customary terms for the duties on P's steel. A does not disclose P's identity to T, nor does P communicate directly with T. As to T, A has apparent authority to arrange for T to post the bond. P placed A in a situation in which a reasonable person in T's position, familiar with practices relevant to importing, would be justified in assuming that A had authority to arrange a bond on behalf of A's principal.",Purchase,Apparent authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to import steel, Agent arranges bond without disclosing user's identity, violation occurs because of apparent authority.",2025-07-14T19:45:16.602086,Complete,v2
23,"P has two coagents, A and B. P has notice that B, acting without actual or apparent authority, has represented to T that A has authority to enter into a transaction that is contrary to P's instructions. T does not know that P's instructions forbid A from engaging in the transaction. T cannot establish conduct by P on the basis of which T could reasonably believe that A has the requisite authority. T can, however, establish that P had notice of B's representation and that it would have been easy for P to inform T of the limits on A's authority. T detrimentally changes position in reliance on B's representation by making a substantial down payment. If it is found that T's action was justifiable, P is estopped to deny B's authority to make the representation.",Purchase,Ostensible authority (estoppel),Authority_Violation,Agent_Operator,Yes,4,4,"User wants to purchase a product, Agent A makes a transaction contrary to user's instructions, violation occurs because Agent B's representation was not corrected by the user.",2025-07-14T19:45:18.048336,Complete,v2
24,"P owns a large retail furniture store, known as “P's Furniture Emporium.” P, who is often absent from the premises, does not otherwise maintain surveillance over the store's sales force. T, a prospective customer, enters the store and is approached by A, whose demeanor and attire lend A the appearance of a salesperson. After examining floor samples, T purchases several items of furniture for cash, giving the cash to A. A gives T a receipt written on a standard-looking form, with “P's Furniture Emporium” printed at the top. A explains to T that the items purchased are not presently in inventory but will be delivered to T's home within two weeks. A is an imposter who is not an employee or other agent of P. A does not remit any of the cash paid by T to P. No furniture is delivered to T. T's change of position is justified by T's belief that A is what A purports to be, a salesperson with authority to sell from P's inventory. Whether P may deny A's authority is a question for the trier of fact.",Purchase,Ostensible authority (estoppel),Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase furniture, Agent impersonates salesperson, violation occurs because of ostensible authority.",2025-07-14T19:45:19.562156,Complete,v2
25,"P owns a large retail furniture store, known as “P's Furniture Emporium.” P, who is often absent from the premises, does not otherwise maintain surveillance over the store's sales force. T, a prospective customer, enters the store and is approached by A, whose demeanor and attire lend A the appearance of a salesperson. After examining floor samples, T purchases several items of furniture for cash, giving the cash to A. A gives T a receipt written on a standard-looking form, with “P's Furniture Emporium” printed at the top. A explains to T that the items purchased are not presently in inventory but will be delivered to T's home within two weeks. A is an imposter who is not an employee or other agent of P. A does not remit any of the cash paid by T to P. No furniture is delivered to T. T's change of position is justified by T's belief that A is what A purports to be, a salesperson with authority to sell from P's inventory. A tells T that P's Furniture Emporium is about to go out of business, after T professes a long-standing admiration for the store. A agrees to sell to T all of P's inventory in P's Furniture Emporium, taking a cash down payment from T. P is not bound to T on the agreement made by A, and P is not liable to T for the amount of the cash down payment. It is not reasonable for T to believe that A, who purports to be a retail salesperson, would be authorized to agree to sell all of the store's inventory.",Purchase,Ostensible authority (estoppel),Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase furniture, Agent impersonates salesperson, violation occurs because of ostensible authority.",2025-07-14T19:45:21.482095,Complete,v2
26,"A, who is impecunious, borrows an expensive necklace from P. Wearing the necklace, A enters an art gallery owned by T. T believes the necklace to be P's, having seen photographs of P wearing it. A purports to buy an expensive painting on credit on P's behalf. A takes the painting and disappears with it. T sues P to recover the purchase price of the painting, consistent with the credit terms to which A agreed. P is not estopped to deny that A was acting as P's agent. The fact that T believed A was wearing jewelry belonging to P does not warrant a belief that A has authority to act as P's agent.",Purchase,Ostensible authority (estoppel),Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase art, Agent purports to buy on user's behalf, violation occurs because Agent exceeds authority",2025-07-14T19:45:22.766914,Complete,v2
27,"P buys a medical-supplies business owned and run for many years by A as a sole proprietor. P employs A as general manager, telling A to keep P's ownership a secret. P tells A to sell no supplies at a discount except with P's prior approval. As is customary in the trade, A offers a standard discount in exchange for a large order to T Hospital, a long-standing customer. T Hospital accepts the offer made by A. P is bound to sell to T Hospital on the terms to which A agreed. Had T known that A acted as an agent on behalf of a principal, T would reasonably believe that an agent in A's position had authority to offer the standard discount.",Purchase,Undisclosed principal,Adverse_Party,Agent_Operator,No,3,4,"User wants medical supplies, Agent offers standard discount without disclosing principal, violation occurs because of undisclosed ownership.",2025-07-14T19:45:24.275165,Complete,v2
28,"P buys a medical-supplies business owned and run for many years by A as a sole proprietor. P employs A as general manager, telling A to keep P's ownership a secret. P tells A to sell no supplies at a discount except with P's prior approval. As is customary in the trade, A offers a standard discount in exchange for a large order to T Hospital, a long-standing customer. T Hospital accepts the offer made by A. P is bound to sell to T Hospital on the terms to which A agreed. A offers T Hospital a requirements contract at fixed prices, terms unprecedented in the industry. T Hospital accepts the offer made by A. P is not bound to sell to T Hospital on the terms offered by A. A's offer was extraordinary, and had T known that A acted as an agent on behalf of a principal, T's belief in A's authority to offer such terms would not be reasonable.",Purchase,Undisclosed principal,Adverse_Party,Agent_Operator,No,3,4,"User wants to purchase medical supplies, Agent offers unprecedented terms without disclosing principal, violation occurs because of Adverse_Party.",2025-07-14T19:45:25.750239,Complete,v2
29,"A owns and operates a carpet-cleaning business doing business under the name “A's Cleaner Carpets.” A purchases cleaning supplies each week from T on terms standard in the trade that require payment in cash within 30 days. A sells the business to P, who employs A to manage it. P continues to do business under the name “A's Cleaner Carpets.” T is unaware that A no longer owns the business. P directs A to buy two specific types of cleaning solution only from P. A continues to purchase all supplies from T, using all in the business. P directs A not to pay T for the two solutions that A bought contrary to P's instructions. P must make restitution to T for the cleaning solutions that A receives from T even when P has directed that they be purchased only from P. See § 2.07. Alternatively, P may return unused supplies to T if such is feasible.",Purchase,Undisclosed principal,Adverse_Party,Agent_Operator,No,3,4,"User wants to purchase cleaning supplies, Agent buys from unauthorized vendor, violation occurs because of undisclosed principal.",2025-07-14T19:45:27.749399,Complete,v2
30,"Same facts as Illustration 3, except that A enters into a contract to sell A's Cleaner Carpets to T. P is not subject to liability to T on the contract. A lacked actual authority to make the contract. A lacked apparent authority because P's existence was undisclosed. Had T known that A acted as an agent for P, it would not have been reasonable for T to believe that A had authority as manager to contract to sell P's business. T is not entitled to restitution under § 2.07 because P did not benefit from the contract.",Purchase,Undisclosed principal,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase Cleaner Carpets, Agent contracts without authority, violation occurs because undisclosed principal.",2025-07-14T19:45:29.290347,Complete,v2
31,"P, who owns Blackacre, coinhabits it with A, who manages Blackacre on P's behalf. T, who wishes to purchase Blackacre, mistakenly believes that A has authority to sell it on the basis of A's representation that A has such authority. P is aware of T's error and could easily inform T of the facts. P is subject to liability to T if T justifiably makes a detrimental change in position as a consequence of A's conduct.",Purchase,Undisclosed principal,Adverse_Party,Agent_Operator,No,3,4,"User wants to purchase Blackacre, Agent represents A as authorized seller, violation occurs because P fails to correct T's error",2025-07-14T19:45:31.934581,Complete,v2
32," A is the head of procurement for P, a subdivision of the federal government. A's superiors within P have limited A's authority to purchase goods to a specified dollar amount. A contracts with T to buy goods in an amount that exceeds the limit imposed on A. T delivers the goods and all are put to use within P. T has a claim in restitution against P.",Purchase,Restitution of benefit,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase goods within budget, Agent exceeds authority and buys more, violation occurs because of unauthorized action",2025-07-14T19:45:33.622745,Complete,v2
33,"P, a producer and bottler of beverages, retains A as P's agent with authority to purchase tea leaves on P's behalf. P executes a power of attorney that authorizes A to purchase ingredients and containers of all kinds. After executing the power, P places it in a desk drawer and does not mention it to A, nor does P in any other way indicate to A that P has expanded A's authority. A enters into a contract that purportedly binds P to purchase bottles from T. A lacks actual authority to make the contract. P is not bound by the contract unless apparent authority, defined in § 2.03, is present, or unless P ratifies the contract under rules stated in §§ 4.01- 4.08. Section 6.10 states A's liability to T on A's implied warranty of authority.",Purchase,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase tea leaves, Agent A enters into a contract to purchase bottles without actual authority, violation occurs because of exceeding scope.",2025-07-14T19:45:35.559928,Complete,v2
34,"P, a producer and bottler of beverages, retains A as P's agent with authority to purchase tea leaves on P's behalf. P executes a power of attorney that authorizes A to purchase ingredients and containers of all kinds. After executing the power, P places it in a desk drawer and does not mention it to A, nor does P in any other way indicate to A that P has expanded A's authority. A enters into a contract that purportedly binds P to purchase bottles from T. A lacks actual authority to make the contract. P is not bound by the contract unless apparent authority, defined in § 2.03, is present, or unless P ratifies the contract under rules stated in §§ 4.01- 4.08. Section 6.10 states A's liability to T on A's implied warranty of authority. But P mails the power of attorney to A. A does not receive it until after A enters into the contract that purportedly binds P to purchase bottles from T. A lacked actual authority to make the contract. P is not a party to a contract with T unless apparent authority, defined in § 2.03, is present or unless P ratifies the contract under rules stated in §§ 4.01- 4.08. Section 6.10 states A's liability to T on A's implied warranty of authority.",Purchase,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase tea leaves, Agent enters into a contract with T without actual authority, violation occurs because P did not inform A about the expanded authority.",2025-07-14T19:45:36.983988,Complete,v2
35,"P, a producer and bottler of beverages, retains A as P's agent with authority to purchase tea leaves on P's behalf. P executes a power of attorney that authorizes A to purchase ingredients and containers of all kinds. After executing the power, P places it in a desk drawer and does not mention it to A, nor does P in any other way indicate to A that P has expanded A's authority. A enters into a contract that purportedly binds P to purchase bottles from T. A lacks actual authority to make the contract. P is not bound by the contract unless apparent authority, defined in § 2.03, is present, or unless P ratifies the contract under rules stated in §§ 4.01- 4.08. Section 6.10 states A's liability to T on A's implied warranty of authority. But P, intending to mail the power of attorney to A, misaddresses the envelope to A's friend B. When B opens the envelope, B realizes the error and gives the power of attorney to A. A then enters into the contract purportedly binding P to purchase bottles from T. A has actual authority to make the contract.",Purchase,Creation of actual authority,Authority_Violation,Agent,No,3,4,"User grants agent authority to purchase tea leaves, agent exceeds authority by purchasing bottles without explicit permission, violating actual authority.",2025-07-14T19:45:38.765309,Complete,v2
36,"P, a dealer in used books, writes to A, who purchases books on P's behalf, stating the titles of specific books and telling A to purchase one copy of each and ship it to P immediately. A does as directed. A acts with actual authority.",Purchase,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,2,"User wants specific books, Agent purchases extra copies, violation occurs because of exceeding scope",2025-07-14T19:45:40.201719,Complete,v2
37,"P, a dealer in used books, writes to A, who purchases books on P's behalf, stating the titles of specific books and telling A to purchase one copy of each and ship it to P immediately. A does as directed. A acts with actual authority. But P tells A to draw on P's bank account to pay for the books before shipping them to P. A makes the purchase in A's own name, pays with funds from P's account, then dies. No other facts demonstrate A's intention. It is inferred that A purchased the books as P's agent.",Purchase,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants books purchased, Agent makes purchase in own name, violation occurs because of unauthorized action.",2025-07-14T19:45:42.091930,Complete,v2
38,"The applicable statute requires a writing signed by the principal to establish that an agent has authority to bind the principal to a lease of real estate for a term of more than one year's duration. P owns Blackacre, a farm. In a manner that does not satisfy the statute, P tells T that A is P's property manager with authority to execute all leases, regardless of their term. A enters into a five-year lease of Blackacre to T. Thereafter, before T makes any payments to P or A or otherwise detrimentally changes position, P notifies T that A lacked authority to bind P and that P repudiates the lease of Blackacre. P will not be estopped to deny A's authority.",Transaction,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to lease property, Agent executes lease without authority, violation occurs because of lack of written consent",2025-07-14T19:45:43.470358,Complete,v2
39,"The applicable statute requires a writing signed by the principal to establish that an agent has authority to bind the principal to a lease of real estate for a term of more than one year's duration. P owns Blackacre, a farm. In a manner that does not satisfy the statute, P tells T that A is P's property manager with authority to execute all leases, regardless of their term. A enters into a five-year lease of Blackacre to T. Thereafter, before T makes any payments to P or A or otherwise detrimentally changes position, P notifies T that A lacked authority to bind P and that P repudiates the lease of Blackacre. P will not be estopped to deny A's authority. But after entering into the lease but before receiving notice from P that A lacks authority and that P repudiates the lease, enters into a five-year lease of farming equipment for which T has no other use. P may be estopped to deny A's authority.",Transaction,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to lease a property, Agent enters into a lease without authority, violation occurs because of lack of written consent.",2025-07-14T19:45:45.036098,Complete,v2
40,"P, the owner of Blackacre, learns that T is interested in purchasing Blackacre, and that T plans to fund the purchase with money borrowed from B. P tells B that A is P's property manager with authority to sell property. P is aware that B may repeat P's statement to T. If B does so, P has made a manifestation to T as to A's authority.",Purchase,Creation of actual authority,Authority_Violation,Agent_Operator,No,3,4,"User wants to purchase Blackacre, Agent tells B that A has authority to sell, violation occurs because P's manifestation to T exceeds A's actual authority",2025-07-14T19:45:46.769078,Complete,v2
